tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude,tree_age
73682,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2232 Ortega St,1.0,Sidewalk: Curb side : Cutout,Private,1995-12-16,9.0,,37.75195044,-122.4876878,27.96
26358,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2799 San Jose Ave,3.0,Sidewalk: Curb side : Cutout,DPW,2005-03-08,3.0,3x3,37.71317821,-122.4533665,18.73
11578,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,3930 Judah St,1.0,Sidewalk: Curb side : Cutout,Private,2014-11-12,3.0,4x10,37.76054036,-122.504122,9.05
95886,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1851 20th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2011-07-27,2.0,3x3,37.75321119,-122.4775649,12.34
159888,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,63 Niagara Ave,1.0,Sidewalk: Curb side : Cutout,Private,2018-11-10,3.0,3x9,37.71654596,-122.4429832,5.05
4263,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,4140 Cesar Chavez St,3.0,Sidewalk: Curb side : Cutout,Private,2013-01-31,3.0,3X3,37.74742697,-122.4326631,10.83
29208,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2002X 41st Ave,10.0,Sidewalk: Curb side : Cutout,DPW,2006-03-18,3.0,3X3,37.74938507,-122.4996918,17.7
84113,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,584 Leland Ave,1.0,Sidewalk: Curb side : Cutout,Private,2008-06-05,5.0,3x3,37.71475791,-122.4153434,15.49
92830,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1039 Santiago St,1.0,Sidewalk: Curb side : Cutout,Private,2009-11-23,3.0,,37.74471691,-122.4786426,14.02
25426,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,135X Mansell St,2.0,Sidewalk: Curb side : Cutout,DPW,2011-06-10,3.0,3x3,37.72101701,-122.4023075,12.47
90857,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2345 Cabrillo St,1.0,Sidewalk: Curb side : Cutout,DPW,2008-02-19,3.0,3x3,37.77437674,-122.4840456,15.78
255490,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,1345 Ocean Ave,,Sidewalk: Curb side : Cutout,Private,2018-05-31,3.0,3x3,37.72393166,-122.4567675,5.5
87559,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,4135 Judah St,1.0,Sidewalk: Curb side : Cutout,DPW,2008-02-24,3.0,3x3,37.76031018,-122.5066252,15.76
250564,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,501 El Camino Del Mar,1.0,Sidewalk: Curb side : Yard,Private,2019-08-08,3.0,Width 6ft,37.78760119,-122.4886862,4.31
86344,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2363 25th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2006-12-18,3.0,3x3,37.74347936,-122.4822505,16.95
219808,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,522 Douglass St,2.0,Sidewalk: Curb side : Cutout,Private,1998-05-27,13.0,Width 3ft,37.7550261,-122.4389266,25.51
29197,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,3001X Ortega St,4.0,Sidewalk: Curb side : Cutout,DPW,2006-03-18,3.0,3X3,37.75145675,-122.4956573,17.7
82351,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,195 Dublin St,3.0,Sidewalk: Curb side : Cutout,Private,2008-06-04,4.0,3x3,37.71708793,-122.4274318,15.49
115755,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,30 Brunswick St,1.0,Sidewalk: Curb side : Cutout,Private,2016-02-24,3.0,,37.71191656,-122.4386809,7.76
165665,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,14 Vasquez Ave,1.0,Sidewalk: Curb side : Cutout,Private,2018-01-26,3.0,3x3,37.74640388,-122.4573832,5.84
86030,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1334 28th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2007-01-12,3.0,3x3,37.7624647,-122.4866505,16.88
92419,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1522 38th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2009-07-29,1.0,3x3,37.75846871,-122.4971135,14.34
44476,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,295 Harvard St,1.0,Sidewalk: Curb side : Cutout,Private,2008-06-02,6.0,3x3,37.72604936,-122.4203509,15.49
68654,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,222 07th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2008-06-08,10.0,3x3,37.78427125,-122.4655102,15.48
90623,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2930 Cabrillo St,1.0,Sidewalk: Curb side : Cutout,DPW,2008-02-18,3.0,3x3,37.77424235,-122.4903177,15.78
41243,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,727 De Haro St,1.0,Sidewalk: Curb side : Cutout,Private,1999-12-02,11.0,3x3,37.76061062,-122.4010838,23.99
12937,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,6668X 03rd St,4.0,Sidewalk: Curb side : Cutout,Private,2012-10-01,12.0,3X3,37.71858863,-122.3978642,11.16
89742,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1131 Anza St,1.0,Sidewalk: Curb side : Cutout,DPW,2008-02-11,3.0,3x3,37.77918667,-122.4604422,15.8
108401,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,1180 York St,1.0,Sidewalk: Curb side : Cutout,Private,2014-12-19,3.0,3x3,37.75317255,-122.4082891,8.95
73498,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1545 Ortega St,1.0,Sidewalk: Curb side : Cutout,Private,1995-04-22,6.0,,37.75212469,-122.4804122,28.61
81839,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1299X Larkin St,5.0,Sidewalk: Curb side : Cutout,DPW for City Agency,2007-12-20,4.0,3x3,37.78971294,-122.4191947,15.95
53215,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,770 Arkansas St,1.0,Sidewalk: Curb side : Cutout,Private,1997-01-11,12.0,,37.75638202,-122.3979814,26.88
87697,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,699X Junipero Serra Blvd,12.0,Sidewalk: Curb side : Cutout,PUC,2008-01-18,3.0,3x3,37.72684986,-122.4719566,15.87
86039,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1293 28th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2007-01-12,6.0,3x3,37.76329857,-122.4868511,16.88
88497,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1701 Lane St,3.0,Sidewalk: Curb side : Cutout,Private,2008-07-18,4.0,3x3,37.73141335,-122.3901481,15.37
92299,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1583 22nd Ave,2.0,Sidewalk: Curb side : Cutout,Private,2009-07-27,4.0,3x3,37.75814713,-122.4800444,14.34
255396,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,48 Peralta Ave,1.0,Sidewalk: Curb side : Cutout,Private,2018-05-17,3.0,3x3,37.74797911,-122.4059693,5.54
32736,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,918 Capitol Ave,1.0,Sidewalk: Curb side : Cutout,Private,2007-10-11,8.0,3x3,37.71858666,-122.4591266,16.14
