tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
24845,Permitted Site,Acacia baileyana 'Purpurea' :: Purple-leaf Acacia,200X Alemany Blvd,23,Sidewalk: Curb side : Cutout,Dept of Real Estate,1/29/1998,25,3X3,37.73549043,-122.4098748
1378,DPW Maintained,Acacia baileyana :: Bailey's Acacia,65 Amethyst Way,2,Sidewalk: Curb side : Cutout,DPW,4/10/1998,7,1X1,37.74609703,-122.4465736
31136,DPW Maintained,Acacia baileyana :: Bailey's Acacia,371 Hearst Ave,1,Sidewalk: Curb side : Cutout,Private,3/21/1995,6,,37.73065514,-122.4458881
37833,DPW Maintained,Acacia baileyana :: Bailey's Acacia,450X Moscow St,20,Sidewalk: Property side : Cutout,SFUSD,7/7/1998,3,3x3,37.71989954,-122.4287844
81675,DPW Maintained,Acacia baileyana :: Bailey's Acacia,495 Connecticut St,1,Sidewalk: Curb side : Cutout,Private,2/28/2004,4,,37.76017242,-122.3970559
30799,DPW Maintained,Acacia baileyana :: Bailey's Acacia,131 Brompton Ave,1,Sidewalk: Curb side : Cutout,Private,2/6/1995,8,,37.73322688,-122.4350985
44327,Permitted Site,Acacia baileyana :: Bailey's Acacia,1586 Shrader St,1,Sidewalk: Curb side : Cutout,Private,3/5/2001,8,2x3,37.7603454,-122.450243
42897,DPW Maintained,Acacia baileyana :: Bailey's Acacia,2016 Wawona St,2,Sidewalk: Curb side : Cutout,Private,7/3/2000,7,,37.73707888,-122.4886368
67185,Permitted Site,Acacia baileyana :: Bailey's Acacia,154 Carmel St,1,Sidewalk: Curb side : Cutout,Private,5/6/1992,12,,37.76087343,-122.4497654
74217,DPW Maintained,Acacia longifolia :: Golden Wattle,140 20th Ave,1,Sidewalk: Curb side : Cutout,Private,7/14/1984,10,,37.78527708,-122.4796527
71177,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,4235 19th St,4,Sidewalk: Curb side : Cutout,SFUSD,8/5/1995,12,4x4,37.75912822,-122.4363351
114573,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,3621 Washington St,1,Sidewalk: Curb side : Cutout,Private,10/3/2019,3,3x3,37.78921843,-122.4526239
116781,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,200 Locust St,1,Sidewalk: Curb side : Cutout,Private,6/10/2016,3,3x3,37.78896448,-122.4521477
173686,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,2211 Palou Ave,1,Sidewalk: Curb side : Cutout,Private,1/12/2017,3,,37.74047755,-122.402136
40179,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,1724 Pierce St,1,Sidewalk: Curb side : Cutout,Private,4/27/1999,24,,37.78612541,-122.4365767
15277,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,1563X Mission St,2,Median : Cutout,DPW,10/28/2016,3,4X4,37.77325318,-122.4183419
68873,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,161 12th Ave,1,Sidewalk: Curb side : Cutout,Private,12/29/1993,10,,37.78515861,-122.4711047
6567,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,1301 Evans Ave,2,Sidewalk: Curb side : Cutout,DPW,1/9/2004,5,3X3,37.7401898,-122.3837478
5417,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,430X Dolores St,5,Sidewalk: Curb side : Cutout,DPW,5/5/2013,24,6,37.76257827,-122.4263587
53937,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,174 09th Ave,1,Sidewalk: Curb side : Cutout,Private,3/27/1972,12,3x4,37.78513897,-122.4677289
11544,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,101X Jennings St,34,Sidewalk: Curb side : Cutout,DPW,12/23/1997,3,3X3,37.73944961,-122.3773798
38477,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,201 El Camino Del Mar,2,Sidewalk: Curb side : Cutout,Private,8/25/1998,12,,37.78753175,-122.4854346
221472,DPW Maintained,Acacia stenophylla :: Shoestring Acacia,400x Guerrero St,5,Median : Cutout,DPW,4/29/2015,1,Width 3ft,37.76415977,-122.4240456
221461,DPW Maintained,Acacia stenophylla :: Shoestring Acacia,300x Guerrero St,6,Median : Cutout,DPW,6/19/2015,2,Width 3ft,37.7656489,-122.4241999
91258,DPW Maintained,Acacia stenophylla :: Shoestring Acacia,948x Guerrero St,1,Median : Cutout,DPW,11/20/2008,3,3x100,37.75598253,-122.4233014
109704,DPW Maintained,Acacia stenophylla :: Shoestring Acacia,600x GUERRERO ST,12,Median : Cutout,DPW,2/28/2015,3,3x3,37.76131443,-122.4243127
221502,DPW Maintained,Acacia stenophylla :: Shoestring Acacia,600x Guerrero St,9,Median : Cutout,DPW,2/21/2015,2,Width 3ft,37.76047091,-122.4236961
221433,DPW Maintained,Acacia stenophylla :: Shoestring Acacia,100x Guerrero St,6,Median : Cutout,DPW,7/15/2016,1,Width 3ft,37.769075,-122.424515
